cement_kg_m3,blas_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,superplasticizer_percentage_weight_of_cement_%,natural_coarse_aggregate_kg_m3,natural_fine_aggregate_kg_m3,testing_age,water_cement_ratio,water_binder_ratio,coarse-agg_fine-agg_ratio,fck_mpa
540.00,0.00,0.00,162.00,2.50,0.46,1040.00,676.00,28.00,0.30,0.3,1.54,79.99
540.00,0.00,0.00,162.00,2.50,0.46,1055.00,676.00,28.00,0.30,0.30,1.56,61.89
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.69,0.48,1.57,40.27
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.69,0.48,1.57,41.05
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,360.00,0.97,0.58,1.19,44.30
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.86,0.60,1.39,47.03
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.60,0.48,1.57,43.70
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.60,0.48,1.57,36.45
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,28.00,0.86,0.60,1.39,45.85
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.48,0.48,1.57,39.29
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,90.00,0.97,0.58,1.19,38.07
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,28.00,0.97,0.58,1.19,28.02
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.53,0.48,1.57,43.01
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,1.20,0.60,1.39,42.33
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,28.00,0.75,0.60,1.39,47.81
380.00,0.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.60,0.60,1.39,52.91
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,90.00,1.38,0.55,1.30,39.36
342.00,38.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,0.67,0.60,1.39,56.14
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.60,0.48,1.57,40.56
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.48,0.48,1.57,42.62
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.53,0.48,1.57,41.84
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,28.00,1.38,0.55,1.30,28.24
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,3.00,1.38,0.55,1.30,8.06
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,180.00,1.38,0.55,1.30,44.21
380.00,0.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,0.60,0.60,1.39,52.52
380.00,0.00,0.00,228.00,0.00,0.00,932.00,670.00,270.00,0.60,0.60,1.39,53.30
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.60,0.48,1.57,41.15
342.00,38.00,0.00,228.00,0.00,0.00,932.00,670.00,180.00,0.67,0.60,1.39,52.12
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.53,0.48,1.57,37.43
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,7.00,0.48,0.48,1.57,38.60
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,0.75,0.60,1.39,55.26
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,0.86,0.60,1.39,52.91
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,180.00,0.97,0.58,1.19,41.72
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.48,0.48,1.57,42.13
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,365.00,1.20,0.60,1.39,53.69
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,270.00,0.96,0.48,1.57,38.41
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.96,0.48,1.57,30.08
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.69,0.48,1.57,37.72
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.48,0.48,1.57,42.23
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.96,0.48,1.57,36.25
342.00,38.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.67,0.60,1.39,50.46
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.53,0.48,1.57,43.70
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.96,0.48,1.57,39.00
380.00,0.00,0.00,228.00,0.00,0.00,932.00,670.00,180.00,0.60,0.60,1.39,53.10
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.53,0.48,1.57,41.54
427.50,47.50,0.00,228.00,0.00,0.00,932.00,594.00,7.00,0.53,0.48,1.57,35.08
349.00,0.00,0.00,192.00,0.00,0.00,1047.00,806.90,3.00,0.55,0.55,1.30,15.05
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.60,0.48,1.57,40.76
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,7.00,0.96,0.48,1.57,26.26
380.00,95.00,0.00,228.00,0.00,0.00,932.00,594.00,7.00,0.60,0.48,1.57,32.82
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,180.00,0.69,0.48,1.57,39.78
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,180.00,1.20,0.60,1.39,46.93
237.50,237.50,0.00,228.00,0.00,0.00,932.00,594.00,90.00,0.96,0.48,1.57,33.12
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,90.00,0.75,0.60,1.39,49.19
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,7.00,1.38,0.55,1.30,14.59
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,7.00,0.97,0.58,1.19,14.64
475.00,0.00,0.00,228.00,0.00,0.00,932.00,594.00,365.00,0.48,0.48,1.57,41.93
198.60,132.40,0.00,192.00,0.00,0.00,978.40,825.50,3.00,0.97,0.58,1.19,9.13
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,180.00,0.75,0.60,1.39,50.95
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,28.00,0.69,0.48,1.57,33.02
304.00,76.00,0.00,228.00,0.00,0.00,932.00,670.00,270.00,0.75,0.60,1.39,54.38
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,270.00,0.86,0.60,1.39,51.73
310.00,0.00,0.00,192.00,0.00,0.00,971.00,850.60,3.00,0.62,0.62,1.14,9.87
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,270.00,1.20,0.60,1.39,50.66
266.00,114.00,0.00,228.00,0.00,0.00,932.00,670.00,180.00,0.86,0.60,1.39,48.70
342.00,38.00,0.00,228.00,0.00,0.00,932.00,670.00,270.00,0.67,0.60,1.39,55.06
139.60,209.40,0.00,192.00,0.00,0.00,1047.00,806.90,360.00,1.38,0.55,1.30,44.70
332.50,142.50,0.00,228.00,0.00,0.00,932.00,594.00,7.00,0.69,0.48,1.57,30.28
190.00,190.00,0.00,228.00,0.00,0.00,932.00,670.00,28.00,1.20,0.60,1.39,40.86
485.00,0.00,0.00,146.00,0.00,0.00,1120.00,800.00,28.00,0.30,0.30,1.40,71.99
374.00,189.20,0.00,170.10,10.10,2.70,926.10,756.70,3.00,0.45,0.30,1.22,34.40
313.30,262.20,0.00,175.50,8.60,2.74,1046.90,611.80,3.00,0.56,0.30,1.71,28.80
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,3.00,0.36,0.29,0.96,33.40
425.00,106.30,0.00,151.40,18.60,4.38,936.00,803.70,3.00,0.36,0.28,1.16,36.30
375.00,93.80,0.00,126.60,23.40,6.24,852.10,992.60,3.00,0.34,0.27,0.86,29.00
475.00,118.80,0.00,181.10,8.90,1.87,852.10,781.50,3.00,0.38,0.30,1.09,37.80
469.00,117.20,0.00,137.80,32.20,6.87,852.10,840.50,3.00,0.29,0.24,1.01,40.20
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,3.00,0.36,0.29,0.96,33.40
388.60,97.10,0.00,157.90,12.10,3.11,852.10,925.70,3.00,0.41,0.33,0.92,28.10
531.30,0.00,0.00,141.80,28.20,5.31,852.10,893.70,3.00,0.27,0.27,0.95,41.30
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,3.00,0.36,0.29,0.96,33.40
318.80,212.50,0.00,155.70,14.30,4.49,852.10,880.40,3.00,0.49,0.29,0.97,25.20
401.80,94.70,0.00,147.40,11.40,2.84,946.80,852.10,3.00,0.37,0.30,1.11,41.10
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,3.00,0.45,0.30,1.25,35.30
323.70,282.80,0.00,183.80,10.30,3.18,942.70,659.90,3.00,0.57,0.30,1.43,28.30
379.50,151.20,0.00,153.90,15.90,4.19,1134.30,605.00,3.00,0.41,0.29,1.87,28.60
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,3.00,0.45,0.30,1.25,35.30
286.30,200.90,0.00,144.70,11.20,3.91,1004.60,803.70,3.00,0.51,0.30,1.25,24.40
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,3.00,0.45,0.30,1.25,35.30
439.00,177.00,0.00,186.00,11.10,2.53,884.90,707.90,3.00,0.42,0.30,1.25,39.30
389.90,189.00,0.00,145.90,22.00,5.64,944.70,755.80,3.00,0.37,0.25,1.25,40.60
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,3.00,0.45,0.30,1.25,35.30
337.90,189.00,0.00,174.90,9.50,2.81,944.70,755.80,3.00,0.52,0.33,1.25,24.10
374.00,189.20,0.00,170.10,10.10,2.70,926.10,756.70,7.00,0.45,0.30,1.22,46.20
313.30,262.20,0.00,175.50,8.60,2.74,1046.90,611.80,7.00,0.56,0.30,1.71,42.80
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,7.00,0.36,0.29,0.96,49.20
425.00,106.30,0.00,151.40,18.60,4.38,936.00,803.70,7.00,0.36,0.28,1.16,46.80
375.00,93.80,0.00,126.60,23.40,6.24,852.10,992.60,7.00,0.34,0.27,0.86,45.70
475.00,118.80,0.00,181.10,8.90,1.87,852.10,781.50,7.00,0.38,0.30,1.09,55.60
469.00,117.20,0.00,137.80,32.20,6.87,852.10,840.50,7.00,0.29,0.24,1.01,54.90
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,7.00,0.36,0.29,0.96,49.20
388.60,97.10,0.00,157.90,12.10,3.11,852.10,925.70,7.00,0.41,0.33,0.92,34.90
531.30,0.00,0.00,141.80,28.20,5.31,852.10,893.70,7.00,0.27,0.27,0.95,46.90
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,7.00,0.36,0.29,0.96,49.20
318.80,212.50,0.00,155.70,14.30,4.49,852.10,880.40,7.00,0.49,0.29,0.97,33.40
401.80,94.70,0.00,147.40,11.40,2.84,946.80,852.10,7.00,0.37,0.30,1.11,54.10
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,7.00,0.45,0.30,1.25,55.90
323.70,282.80,0.00,183.80,10.30,3.18,942.70,659.90,7.00,0.57,0.30,1.43,49.80
379.50,151.20,0.00,153.90,15.90,4.19,1134.30,605.00,7.00,0.41,0.29,1.87,47.10
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,7.00,0.45,0.30,1.25,55.90
286.30,200.90,0.00,144.70,11.20,3.91,1004.60,803.70,7.00,0.51,0.30,1.25,38.00
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,7.00,0.45,0.30,1.25,55.90
439.00,177.00,0.00,186.00,11.10,2.53,884.90,707.90,7.00,0.42,0.30,1.25,56.10
389.90,189.00,0.00,145.90,22.00,5.64,944.70,755.80,7.00,0.37,0.25,1.25,59.09
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,7.00,0.45,0.30,1.25,22.90
337.90,189.00,0.00,174.90,9.50,2.81,944.70,755.80,7.00,0.52,0.33,1.25,35.10
374.00,189.20,0.00,170.10,10.10,2.70,926.10,756.70,28.00,0.45,0.30,1.22,61.09
313.30,262.20,0.00,175.50,8.60,2.74,1046.90,611.80,28.00,0.56,0.30,1.71,59.80
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,28.00,0.36,0.29,0.96,60.29
425.00,106.30,0.00,151.40,18.60,4.38,936.00,803.70,28.00,0.36,0.28,1.16,61.80
375.00,93.80,0.00,126.60,23.40,6.24,852.10,992.60,28.00,0.34,0.27,0.86,56.70
475.00,118.80,0.00,181.10,8.90,1.87,852.10,781.50,28.00,0.38,0.30,1.09,68.30
469.00,117.20,0.00,137.80,32.20,6.87,852.10,840.50,28.00,0.29,0.24,1.01,66.90
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,28.00,0.36,0.29,0.96,60.29
388.60,97.10,0.00,157.90,12.10,3.11,852.10,925.70,28.00,0.41,0.33,0.92,50.70
531.30,0.00,0.00,141.80,28.20,5.31,852.10,893.70,28.00,0.27,0.27,0.95,56.40
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,28.00,0.36,0.29,0.96,60.29
318.80,212.50,0.00,155.70,14.30,4.49,852.10,880.40,28.00,0.49,0.29,0.97,55.50
401.80,94.70,0.00,147.40,11.40,2.84,946.80,852.10,28.00,0.37,0.30,1.11,68.50
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,28.00,0.45,0.30,1.25,71.30
323.70,282.80,0.00,183.80,10.30,3.18,942.70,659.90,28.00,0.57,0.30,1.43,74.70
379.50,151.20,0.00,153.90,15.90,4.19,1134.30,605.00,28.00,0.41,0.29,1.87,52.20
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,28.00,0.45,0.30,1.25,71.30
286.30,200.90,0.00,144.70,11.20,3.91,1004.60,803.70,28.00,0.51,0.30,1.25,67.70
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,28.00,0.45,0.30,1.25,71.30
439.00,177.00,0.00,186.00,11.10,2.53,884.90,707.90,28.00,0.42,0.30,1.25,66.00
389.90,189.00,0.00,145.90,22.00,5.64,944.70,755.80,28.00,0.37,0.25,1.25,74.50
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,28.00,0.45,0.30,1.25,71.30
337.90,189.00,0.00,174.90,9.50,2.81,944.70,755.80,28.00,0.52,0.33,1.25,49.90
374.00,189.20,0.00,170.10,10.10,2.70,926.10,756.70,56.00,0.45,0.30,1.22,63.40
313.30,262.20,0.00,175.50,8.60,2.74,1046.90,611.80,56.00,0.56,0.30,1.71,64.90
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,56.00,0.36,0.29,0.96,64.30
425.00,106.30,0.00,151.40,18.60,4.38,936.00,803.70,56.00,0.36,0.28,1.16,64.90
375.00,93.80,0.00,126.60,23.40,6.24,852.10,992.60,56.00,0.34,0.27,0.86,60.20
475.00,118.80,0.00,181.10,8.90,1.87,852.10,781.50,56.00,0.38,0.30,1.09,72.30
469.00,117.20,0.00,137.80,32.20,6.87,852.10,840.50,56.00,0.29,0.24,1.01,69.30
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,56.00,0.36,0.29,0.96,64.30
388.60,97.10,0.00,157.90,12.10,3.11,852.10,925.70,56.00,0.41,0.33,0.92,55.20
531.30,0.00,0.00,141.80,28.20,5.31,852.10,893.70,56.00,0.27,0.27,0.95,58.80
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,56.00,0.36,0.29,0.96,64.30
318.80,212.50,0.00,155.70,14.30,4.49,852.10,880.40,56.00,0.49,0.29,0.97,66.10
401.80,94.70,0.00,147.40,11.40,2.84,946.80,852.10,56.00,0.37,0.30,1.11,73.70
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,56.00,0.45,0.30,1.25,77.30
323.70,282.80,0.00,183.80,10.30,3.18,942.70,659.90,56.00,0.57,0.30,1.43,80.20
379.50,151.20,0.00,153.90,15.90,4.19,1134.30,605.00,56.00,0.41,0.29,1.87,54.90
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,56.00,0.45,0.30,1.25,77.30
286.30,200.90,0.00,144.70,11.20,3.91,1004.60,803.70,56.00,0.51,0.30,1.25,72.99
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,56.00,0.45,0.30,1.25,77.30
439.00,177.00,0.00,186.00,11.10,2.53,884.90,707.90,56.00,0.42,0.30,1.25,71.70
389.90,189.00,0.00,145.90,22.00,5.64,944.70,755.80,56.00,0.37,0.25,1.25,79.40
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,56.00,0.45,0.30,1.25,77.30
337.90,189.00,0.00,174.90,9.50,2.81,944.70,755.80,56.00,0.52,0.33,1.25,59.89
374.00,189.20,0.00,170.10,10.10,2.70,926.10,756.70,91.00,0.45,0.30,1.22,64.90
313.30,262.20,0.00,175.50,8.60,2.74,1046.90,611.80,91.00,0.56,0.30,1.71,66.60
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,91.00,0.36,0.29,0.96,65.20
425.00,106.30,0.00,151.40,18.60,4.38,936.00,803.70,91.00,0.36,0.28,1.16,66.70
375.00,93.80,0.00,126.60,23.40,6.24,852.10,992.60,91.00,0.34,0.27,0.86,62.50
475.00,118.80,0.00,181.10,8.90,1.87,852.10,781.50,91.00,0.38,0.30,1.09,74.19
469.00,117.20,0.00,137.80,32.20,6.87,852.10,840.50,91.00,0.29,0.24,1.01,70.70
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,91.00,0.36,0.29,0.96,65.20
388.60,97.10,0.00,157.90,12.10,3.11,852.10,925.70,91.00,0.41,0.33,0.92,57.60
531.30,0.00,0.00,141.80,28.20,5.31,852.10,893.70,91.00,0.27,0.27,0.95,59.20
425.00,106.30,0.00,153.50,16.50,3.88,852.10,887.10,91.00,0.36,0.29,0.96,65.20
318.80,212.50,0.00,155.70,14.30,4.49,852.10,880.40,91.00,0.49,0.29,0.97,68.10
401.80,94.70,0.00,147.40,11.40,2.84,946.80,852.10,91.00,0.37,0.30,1.11,75.50
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,91.00,0.45,0.30,1.25,79.30
379.50,151.20,0.00,153.90,15.90,4.19,1134.30,605.00,91.00,0.41,0.29,1.87,56.50
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,91.00,0.45,0.30,1.25,79.30
286.30,200.90,0.00,144.70,11.20,3.91,1004.60,803.70,91.00,0.51,0.30,1.25,76.80
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,91.00,0.45,0.30,1.25,79.30
439.00,177.00,0.00,186.00,11.10,2.53,884.90,707.90,91.00,0.42,0.30,1.25,73.30
389.90,189.00,0.00,145.90,22.00,5.64,944.70,755.80,91.00,0.37,0.25,1.25,82.60
362.60,189.00,0.00,164.90,11.60,3.20,944.70,755.80,91.00,0.45,0.30,1.25,79.30
337.90,189.00,0.00,174.90,9.50,2.81,944.70,755.80,91.00,0.52,0.33,1.25,67.80
222.36,0.00,96.67,189.29,4.46,2.01,967.08,870.32,3.00,0.85,0.59,1.11,11.58
222.36,0.00,96.67,189.29,4.46,2.01,967.08,870.32,14.00,0.85,0.59,1.11,24.45
222.36,0.00,96.67,189.29,4.46,2.01,967.08,870.32,28.00,0.85,0.59,1.11,24.89
222.36,0.00,96.67,189.29,4.46,2.01,967.08,870.32,56.00,0.85,0.59,1.11,29.45
222.36,0.00,96.67,189.29,4.46,2.01,967.08,870.32,100.00,0.85,0.59,1.11,40.71
233.81,0.00,94.58,197.89,4.57,1.95,947.04,852.16,3.00,0.85,0.60,1.11,10.38
233.81,0.00,94.58,197.89,4.57,1.95,947.04,852.16,14.00,0.85,0.60,1.11,22.14
233.81,0.00,94.58,197.89,4.57,1.95,947.04,852.16,28.00,0.85,0.60,1.11,22.84
233.81,0.00,94.58,197.89,4.57,1.95,947.04,852.16,56.00,0.85,0.60,1.11,27.66
233.81,0.00,94.58,197.89,4.57,1.95,947.04,852.16,100.00,0.85,0.60,1.11,34.56
194.68,0.00,100.52,165.62,7.48,3.84,1006.40,905.90,3.00,0.85,0.56,1.11,12.45
194.68,0.00,100.52,165.62,7.48,3.84,1006.40,905.90,14.00,0.85,0.56,1.11,24.99
194.68,0.00,100.52,165.62,7.48,3.84,1006.40,905.90,28.00,0.85,0.56,1.11,25.72
194.68,0.00,100.52,165.62,7.48,3.84,1006.40,905.90,56.00,0.85,0.56,1.11,33.96
194.68,0.00,100.52,165.62,7.48,3.84,1006.40,905.90,100.00,0.85,0.56,1.11,37.34
190.68,0.00,125.40,162.14,7.77,4.07,1090.00,804.01,3.00,0.85,0.51,1.36,15.04
190.68,0.00,125.40,162.14,7.77,4.07,1090.00,804.01,14.00,0.85,0.51,1.36,21.06
190.68,0.00,125.40,162.14,7.77,4.07,1090.00,804.01,28.00,0.85,0.51,1.36,26.40
190.68,0.00,125.40,162.14,7.77,4.07,1090.00,804.01,56.00,0.85,0.51,1.36,35.34
