mix_code,issue_code,issue_description
1,NO_SPECIMEN,Hardened result (id=9433) has no linked specimen
2,NO_SPECIMEN,Hardened result (id=9435) has no linked specimen
3,NO_SPECIMEN,Hardened result (id=9437) has no linked specimen
4,NO_SPECIMEN,Hardened result (id=9439) has no linked specimen
5,NO_SPECIMEN,Hardened result (id=9441) has no linked specimen
6,NO_SPECIMEN,Hardened result (id=9443) has no linked specimen
7,NO_SPECIMEN,Hardened result (id=9445) has no linked specimen
8,NO_SPECIMEN,Hardened result (id=9447) has no linked specimen
9,NO_SPECIMEN,Hardened result (id=9449) has no linked specimen
10,NO_SPECIMEN,Hardened result (id=9451) has no linked specimen
11,NO_SPECIMEN,Hardened result (id=9453) has no linked specimen
12,NO_SPECIMEN,Hardened result (id=9455) has no linked specimen
13,NO_SPECIMEN,Hardened result (id=9457) has no linked specimen
14,NO_SPECIMEN,Hardened result (id=9459) has no linked specimen
15,NO_SPECIMEN,Hardened result (id=9461) has no linked specimen
16,NO_SPECIMEN,Hardened result (id=9463) has no linked specimen
17,NO_SPECIMEN,Hardened result (id=9465) has no linked specimen
18,NO_SPECIMEN,Hardened result (id=9467) has no linked specimen
19,NO_SPECIMEN,Hardened result (id=9469) has no linked specimen
20,NO_SPECIMEN,Hardened result (id=9471) has no linked specimen
21,NO_SPECIMEN,Hardened result (id=9473) has no linked specimen
22,NO_SPECIMEN,Hardened result (id=9475) has no linked specimen
23,NO_SPECIMEN,Hardened result (id=9477) has no linked specimen
24,NO_SPECIMEN,Hardened result (id=9479) has no linked specimen
25,NO_SPECIMEN,Hardened result (id=9481) has no linked specimen
26,NO_SPECIMEN,Hardened result (id=9483) has no linked specimen
27,NO_SPECIMEN,Hardened result (id=9485) has no linked specimen
28,NO_SPECIMEN,Hardened result (id=9487) has no linked specimen
29,NO_SPECIMEN,Hardened result (id=9489) has no linked specimen
30,NO_SPECIMEN,Hardened result (id=9491) has no linked specimen
31,NO_SPECIMEN,Hardened result (id=9493) has no linked specimen
32,NO_SPECIMEN,Hardened result (id=9495) has no linked specimen
33,NO_SPECIMEN,Hardened result (id=9497) has no linked specimen
34,NO_SPECIMEN,Hardened result (id=9499) has no linked specimen
35,NO_SPECIMEN,Hardened result (id=9501) has no linked specimen
36,NO_SPECIMEN,Hardened result (id=9503) has no linked specimen
37,NO_SPECIMEN,Hardened result (id=9505) has no linked specimen
38,NO_SPECIMEN,Hardened result (id=9507) has no linked specimen
39,NO_SPECIMEN,Hardened result (id=9509) has no linked specimen
40,NO_SPECIMEN,Hardened result (id=9511) has no linked specimen
41,NO_SPECIMEN,Hardened result (id=9513) has no linked specimen
42,NO_SPECIMEN,Hardened result (id=9515) has no linked specimen
43,NO_SPECIMEN,Hardened result (id=9517) has no linked specimen
44,NO_SPECIMEN,Hardened result (id=9519) has no linked specimen
45,NO_SPECIMEN,Hardened result (id=9521) has no linked specimen
46,NO_SPECIMEN,Hardened result (id=9523) has no linked specimen
47,NO_SPECIMEN,Hardened result (id=9525) has no linked specimen
48,NO_SPECIMEN,Hardened result (id=9527) has no linked specimen
49,NO_SPECIMEN,Hardened result (id=9529) has no linked specimen
50,NO_SPECIMEN,Hardened result (id=9531) has no linked specimen
51,NO_SPECIMEN,Hardened result (id=9533) has no linked specimen
52,NO_SPECIMEN,Hardened result (id=9535) has no linked specimen
53,NO_SPECIMEN,Hardened result (id=9537) has no linked specimen
54,NO_SPECIMEN,Hardened result (id=9539) has no linked specimen
55,NO_SPECIMEN,Hardened result (id=9541) has no linked specimen
56,NO_SPECIMEN,Hardened result (id=9543) has no linked specimen
57,NO_SPECIMEN,Hardened result (id=9545) has no linked specimen
58,NO_SPECIMEN,Hardened result (id=9547) has no linked specimen
59,NO_SPECIMEN,Hardened result (id=9549) has no linked specimen
60,NO_SPECIMEN,Hardened result (id=9551) has no linked specimen
61,NO_SPECIMEN,Hardened result (id=9553) has no linked specimen
62,NO_SPECIMEN,Hardened result (id=9555) has no linked specimen
63,NO_SPECIMEN,Hardened result (id=9557) has no linked specimen
64,NO_SPECIMEN,Hardened result (id=9559) has no linked specimen
65,NO_SPECIMEN,Hardened result (id=9561) has no linked specimen
66,NO_SPECIMEN,Hardened result (id=9563) has no linked specimen
67,NO_SPECIMEN,Hardened result (id=9565) has no linked specimen
68,NO_SPECIMEN,Hardened result (id=9567) has no linked specimen
69,NO_SPECIMEN,Hardened result (id=9569) has no linked specimen
70,NO_SPECIMEN,Hardened result (id=9571) has no linked specimen
71,NO_SPECIMEN,Hardened result (id=9573) has no linked specimen
72,NO_SPECIMEN,Hardened result (id=9575) has no linked specimen
73,NO_SPECIMEN,Hardened result (id=9577) has no linked specimen
74,NO_SPECIMEN,Hardened result (id=9579) has no linked specimen
75,NO_SPECIMEN,Hardened result (id=9581) has no linked specimen
76,NO_SPECIMEN,Hardened result (id=9583) has no linked specimen
77,NO_SPECIMEN,Hardened result (id=9585) has no linked specimen
78,NO_SPECIMEN,Hardened result (id=9587) has no linked specimen
79,NO_SPECIMEN,Hardened result (id=9589) has no linked specimen
80,NO_SPECIMEN,Hardened result (id=9591) has no linked specimen
81,NO_SPECIMEN,Hardened result (id=9593) has no linked specimen
82,NO_SPECIMEN,Hardened result (id=9595) has no linked specimen
83,NO_SPECIMEN,Hardened result (id=9597) has no linked specimen
84,NO_SPECIMEN,Hardened result (id=9599) has no linked specimen
85,NO_SPECIMEN,Hardened result (id=9601) has no linked specimen
86,NO_SPECIMEN,Hardened result (id=9603) has no linked specimen
87,NO_SPECIMEN,Hardened result (id=9605) has no linked specimen
88,NO_SPECIMEN,Hardened result (id=9607) has no linked specimen
89,NO_SPECIMEN,Hardened result (id=9609) has no linked specimen
90,NO_SPECIMEN,Hardened result (id=9611) has no linked specimen
1,NO_REFERENCE,Mix has no linked bibliographic references
2,NO_REFERENCE,Mix has no linked bibliographic references
3,NO_REFERENCE,Mix has no linked bibliographic references
4,NO_REFERENCE,Mix has no linked bibliographic references
5,NO_REFERENCE,Mix has no linked bibliographic references
6,NO_REFERENCE,Mix has no linked bibliographic references
7,NO_REFERENCE,Mix has no linked bibliographic references
8,NO_REFERENCE,Mix has no linked bibliographic references
9,NO_REFERENCE,Mix has no linked bibliographic references
10,NO_REFERENCE,Mix has no linked bibliographic references
11,NO_REFERENCE,Mix has no linked bibliographic references
12,NO_REFERENCE,Mix has no linked bibliographic references
13,NO_REFERENCE,Mix has no linked bibliographic references
14,NO_REFERENCE,Mix has no linked bibliographic references
15,NO_REFERENCE,Mix has no linked bibliographic references
16,NO_REFERENCE,Mix has no linked bibliographic references
17,NO_REFERENCE,Mix has no linked bibliographic references
18,NO_REFERENCE,Mix has no linked bibliographic references
19,NO_REFERENCE,Mix has no linked bibliographic references
20,NO_REFERENCE,Mix has no linked bibliographic references
21,NO_REFERENCE,Mix has no linked bibliographic references
22,NO_REFERENCE,Mix has no linked bibliographic references
23,NO_REFERENCE,Mix has no linked bibliographic references
24,NO_REFERENCE,Mix has no linked bibliographic references
25,NO_REFERENCE,Mix has no linked bibliographic references
26,NO_REFERENCE,Mix has no linked bibliographic references
27,NO_REFERENCE,Mix has no linked bibliographic references
28,NO_REFERENCE,Mix has no linked bibliographic references
29,NO_REFERENCE,Mix has no linked bibliographic references
30,NO_REFERENCE,Mix has no linked bibliographic references
31,NO_REFERENCE,Mix has no linked bibliographic references
32,NO_REFERENCE,Mix has no linked bibliographic references
33,NO_REFERENCE,Mix has no linked bibliographic references
34,NO_REFERENCE,Mix has no linked bibliographic references
35,NO_REFERENCE,Mix has no linked bibliographic references
36,NO_REFERENCE,Mix has no linked bibliographic references
37,NO_REFERENCE,Mix has no linked bibliographic references
38,NO_REFERENCE,Mix has no linked bibliographic references
39,NO_REFERENCE,Mix has no linked bibliographic references
40,NO_REFERENCE,Mix has no linked bibliographic references
41,NO_REFERENCE,Mix has no linked bibliographic references
42,NO_REFERENCE,Mix has no linked bibliographic references
43,NO_REFERENCE,Mix has no linked bibliographic references
44,NO_REFERENCE,Mix has no linked bibliographic references
45,NO_REFERENCE,Mix has no linked bibliographic references
46,NO_REFERENCE,Mix has no linked bibliographic references
47,NO_REFERENCE,Mix has no linked bibliographic references
48,NO_REFERENCE,Mix has no linked bibliographic references
49,NO_REFERENCE,Mix has no linked bibliographic references
50,NO_REFERENCE,Mix has no linked bibliographic references
51,NO_REFERENCE,Mix has no linked bibliographic references
52,NO_REFERENCE,Mix has no linked bibliographic references
53,NO_REFERENCE,Mix has no linked bibliographic references
54,NO_REFERENCE,Mix has no linked bibliographic references
55,NO_REFERENCE,Mix has no linked bibliographic references
56,NO_REFERENCE,Mix has no linked bibliographic references
57,NO_REFERENCE,Mix has no linked bibliographic references
58,NO_REFERENCE,Mix has no linked bibliographic references
59,NO_REFERENCE,Mix has no linked bibliographic references
60,NO_REFERENCE,Mix has no linked bibliographic references
61,NO_REFERENCE,Mix has no linked bibliographic references
62,NO_REFERENCE,Mix has no linked bibliographic references
63,NO_REFERENCE,Mix has no linked bibliographic references
64,NO_REFERENCE,Mix has no linked bibliographic references
65,NO_REFERENCE,Mix has no linked bibliographic references
66,NO_REFERENCE,Mix has no linked bibliographic references
67,NO_REFERENCE,Mix has no linked bibliographic references
68,NO_REFERENCE,Mix has no linked bibliographic references
69,NO_REFERENCE,Mix has no linked bibliographic references
70,NO_REFERENCE,Mix has no linked bibliographic references
71,NO_REFERENCE,Mix has no linked bibliographic references
72,NO_REFERENCE,Mix has no linked bibliographic references
73,NO_REFERENCE,Mix has no linked bibliographic references
74,NO_REFERENCE,Mix has no linked bibliographic references
75,NO_REFERENCE,Mix has no linked bibliographic references
76,NO_REFERENCE,Mix has no linked bibliographic references
77,NO_REFERENCE,Mix has no linked bibliographic references
78,NO_REFERENCE,Mix has no linked bibliographic references
79,NO_REFERENCE,Mix has no linked bibliographic references
80,NO_REFERENCE,Mix has no linked bibliographic references
81,NO_REFERENCE,Mix has no linked bibliographic references
82,NO_REFERENCE,Mix has no linked bibliographic references
83,NO_REFERENCE,Mix has no linked bibliographic references
84,NO_REFERENCE,Mix has no linked bibliographic references
85,NO_REFERENCE,Mix has no linked bibliographic references
86,NO_REFERENCE,Mix has no linked bibliographic references
87,NO_REFERENCE,Mix has no linked bibliographic references
88,NO_REFERENCE,Mix has no linked bibliographic references
89,NO_REFERENCE,Mix has no linked bibliographic references
90,NO_REFERENCE,Mix has no linked bibliographic references
